row_number,Order ID,Product ID,Customer ID,Order Date,Ship Mode,DeliveryTime,Quantity,Sales,Profit,Payment Mode,rating
1661,US-2019-101497,OFF-PA-10000176,PS-18760,29-09-2019,Second Class,45 mins,1,18.97,9.1056,Online,4.5
1662,CA-2019-108616,TEC-AC-10000420,JK-15730,29-09-2019,Standard Class,30 mins,3,209.97,71.3898,Online,
1663,CA-2019-108616,OFF-BI-10001989,JK-15730,29-09-2019,Standard Class,50 mins,3,62.94,30.2112,Online,
1664,CA-2019-108616,OFF-AR-10001149,JK-15730,29-09-2019,Standard Class,40 mins,9,25.92,7.776,COD,
1665,CA-2019-138037,OFF-BI-10002982,AR-10540,29-09-2019,Standard Class,55 mins,5,27.24,9.534,Cards,2.9
1666,CA-2019-106621,OFF-AR-10002375,DM-12955,29-09-2019,Second Class,60 mins,4,10.496,1.1808,Cards,4.1
1667,CA-2019-108056,TEC-PH-10001817,ES-14080,29-09-2019,Standard Class,35 mins,3,859.2,75.18,Online,4
1668,CA-2019-125794,TEC-AC-10003399,ML-17410,29-09-2019,Standard Class,45 mins,1,36.24,15.2208,Online,4.3
1669,CA-2019-108644,OFF-BI-10000343,SJ-20215,30-09-2019,First Class,50 mins,2,1.964,-3.2406,Online,3.7
1670,CA-2019-106243,FUR-BO-10003034,GM-14680,30-09-2019,Standard Class,35 mins,5,523.92,-26.196,Online,
1671,CA-2019-157686,FUR-CH-10001146,BD-11620,01-10-2019,First Class,55 mins,4,194.848,12.178,COD,4.1
1672,CA-2019-155992,TEC-PH-10000215,CC-12220,01-10-2019,First Class,40 mins,2,69.9,18.873,Online,4.5
1673,CA-2019-155992,FUR-FU-10003724,CC-12220,01-10-2019,First Class,50 mins,5,41.85,10.881,Online,4.3
1674,CA-2019-139157,FUR-TA-10003238,GM-14680,01-10-2019,Standard Class,60 mins,1,330.588,-115.7058,Cards,4.3
1675,CA-2019-111794,TEC-AC-10003832,HG-15025,01-10-2019,Same Day,45 mins,3,79.512,20.8719,Cards,4.4
1676,CA-2019-111794,OFF-PA-10000474,HG-15025,01-10-2019,Same Day,35 mins,1,28.352,9.5688,Online,4
1677,CA-2019-116918,OFF-BI-10004140,JK-15205,01-10-2019,Second Class,55 mins,4,5.388,-4.49,Online,2.6
1678,CA-2019-116918,OFF-AR-10003631,JK-15205,01-10-2019,Second Class,30 mins,8,30.976,5.0336,COD,
1679,CA-2019-134376,OFF-AP-10004532,TT-21265,02-10-2019,Standard Class,40 mins,3,61.44,16.5888,Cards,4.3
1680,CA-2019-118969,OFF-BI-10002429,LP-17095,02-10-2019,First Class,50 mins,6,54.792,-40.1808,Online,
1681,CA-2019-118689,OFF-ST-10001558,TC-20980,02-10-2019,Standard Class,30 mins,2,32.48,4.872,COD,3.5
1682,CA-2019-118689,TEC-CO-10004722,TC-20980,02-10-2019,Standard Class,45 mins,5,499.95,8399.976,Cards,4.8
1683,CA-2019-118689,OFF-BI-10004600,TC-20980,02-10-2019,Standard Class,25 mins,2,735.98,331.191,Cards,3.1
1684,CA-2019-118689,OFF-BI-10003712,TC-20980,02-10-2019,Standard Class,40 mins,7,34.37,16.8413,Online,4.3
1685,CA-2019-118689,OFF-AR-10001958,TC-20980,02-10-2019,Standard Class,35 mins,2,33.96,9.5088,COD,4.4
1686,CA-2019-140634,OFF-EN-10001099,HL-15040,03-10-2019,Second Class,30 mins,2,15.648,5.0856,Cards,3.3
1687,CA-2019-144939,FUR-CH-10003199,EB-13870,03-10-2019,Standard Class,50 mins,6,599.292,93.2232,Online,
1688,CA-2019-103919,FUR-FU-10001756,TP-21565,03-10-2019,Standard Class,20 mins,5,38.08,-29.512,Online,4.1
1689,CA-2019-101672,OFF-LA-10002271,DB-12910,03-10-2019,Standard Class,45 mins,2,6.16,2.9568,COD,3.5
1690,CA-2019-101672,FUR-CH-10004063,DB-12910,03-10-2019,Standard Class,60 mins,4,915.136,102.9528,Online,3.6
1691,CA-2019-101672,OFF-PA-10004610,DB-12910,03-10-2019,Standard Class,35 mins,2,8.56,3.852,COD,
1692,CA-2019-101672,OFF-PA-10001878,DB-12910,03-10-2019,Standard Class,25 mins,2,97.82,45.9754,COD,3.9
1693,CA-2019-121601,OFF-EN-10003862,MO-17500,04-10-2019,Same Day,20 mins,7,59.752,19.4194,Cards,4.3
1694,US-2019-140158,OFF-BI-10000977,DR-12940,04-10-2019,Standard Class,30 mins,1,30.4,13.984,Online,4.2
1695,US-2019-140158,TEC-CO-10001449,DR-12940,04-10-2019,Standard Class,25 mins,9,5399.91,2591.9568,Cards,4.1
1696,US-2019-140158,OFF-ST-10000136,DR-12940,04-10-2019,Standard Class,30 mins,3,119.1,34.539,COD,4.3
1697,CA-2019-131296,FUR-TA-10002622,MS-17830,04-10-2019,Standard Class,40 mins,2,239.372,-23.9372,Online,4.3
1698,CA-2019-145709,TEC-PH-10003095,AH-10690,04-10-2019,Standard Class,20 mins,3,52.68,19.755,COD,
1699,CA-2019-145709,FUR-FU-10002885,AH-10690,04-10-2019,Standard Class,30 mins,3,11.568,2.6028,COD,
1700,US-2019-115952,OFF-BI-10004654,JH-15910,06-10-2019,Same Day,50 mins,5,28.85,14.425,Cards,4.2
1701,US-2019-157490,TEC-MA-10001695,LB-16795,06-10-2019,First Class,20 mins,6,703.71,-938.28,Online,4.4
1702,US-2019-157490,OFF-BI-10002824,LB-16795,06-10-2019,First Class,40 mins,4,17.904,-14.92,Online,4.4
1703,US-2019-157490,OFF-BI-10002571,LB-16795,06-10-2019,First Class,30 mins,4,11.976,-9.1816,Online,3.9
1704,US-2019-157490,TEC-AC-10001553,LB-16795,06-10-2019,First Class,25 mins,5,67.96,0.8495,Online,4
1705,CA-2019-162614,OFF-BI-10004001,TB-21250,07-10-2019,Standard Class,35 mins,2,27.264,8.8608,Online,4.2
1706,CA-2019-127649,TEC-MA-10001972,DL-13495,07-10-2019,First Class,20 mins,3,837.6,62.82,COD,4.4
1707,CA-2019-155033,OFF-PA-10000143,CC-12475,07-10-2019,Standard Class,30 mins,2,10.56,5.0688,COD,4
1708,CA-2019-163216,OFF-LA-10000134,AW-10930,07-10-2019,First Class,40 mins,2,4.928,1.7248,Online,
1709,CA-2019-139808,OFF-FA-10001883,MC-18100,07-10-2019,Standard Class,45 mins,12,93.36,0.9336,Online,
1710,US-2019-126844,FUR-FU-10004909,BW-11110,08-10-2019,Standard Class,30 mins,8,51.712,-32.32,Online,
1711,US-2019-162026,OFF-PA-10000167,JE-15745,08-10-2019,Same Day,25 mins,2,61.96,27.882,COD,
1712,CA-2019-149685,OFF-LA-10004545,PM-19135,08-10-2019,Standard Class,20 mins,6,60.144,20.2986,Online,3.7
1713,CA-2019-135636,OFF-ST-10000676,DB-13615,08-10-2019,Standard Class,40 mins,5,387.72,-67.851,COD,4.6
1714,CA-2019-116974,TEC-PH-10004897,MP-17965,09-10-2019,Standard Class,30 mins,4,23.976,-15.5844,COD,
1715,US-2019-128909,OFF-PA-10001593,SP-20545,09-10-2019,Second Class,25 mins,4,19.136,5.98,Online,4.2
1716,US-2019-128909,FUR-FU-10004071,SP-20545,09-10-2019,Second Class,45 mins,4,332.832,-24.9624,Online,4.2
1717,CA-2019-114748,OFF-AR-10001315,MZ-17335,09-10-2019,Standard Class,30 mins,1,1.408,0.1584,COD,4.2
1718,CA-2019-114748,FUR-FU-10001488,MZ-17335,09-10-2019,Standard Class,25 mins,2,169.568,0,Online,
1719,US-2019-150357,OFF-SU-10004498,EB-13975,10-10-2019,Standard Class,35 mins,2,20.608,-4.3792,Online,4.4
1720,US-2019-150357,OFF-BI-10002557,EB-13975,10-10-2019,Standard Class,50 mins,3,4.095,-2.73,COD,4
1721,CA-2019-157707,FUR-BO-10001567,CC-12610,10-10-2019,First Class,20 mins,3,90.882,-190.8522,Online,4.1
1722,CA-2019-157707,TEC-PH-10002583,CC-12610,10-10-2019,First Class,30 mins,1,15.992,-2.9985,Online,
1723,CA-2019-157707,FUR-CH-10004853,CC-12610,10-10-2019,First Class,40 mins,1,120.784,13.5882,Online,4.1
1724,CA-2019-126627,FUR-FU-10004963,WB-21850,10-10-2019,First Class,25 mins,4,14,-6.3,COD,4.4
1725,CA-2019-126627,OFF-BI-10001597,WB-21850,10-10-2019,First Class,35 mins,2,16.392,-26.2272,Online,4.2
1726,CA-2019-113390,OFF-AR-10003183,EP-13915,11-10-2019,Standard Class,20 mins,2,5.344,0.668,COD,
1727,CA-2019-113390,OFF-AR-10001446,EP-13915,11-10-2019,Standard Class,45 mins,3,27.72,3.465,Online,3
1728,CA-2019-145583,OFF-PA-10001804,LC-16885,13-10-2019,Standard Class,30 mins,3,20.04,9.6192,COD,4.2
1729,CA-2019-145583,OFF-PA-10001736,LC-16885,13-10-2019,Standard Class,20 mins,1,35.44,16.6568,Online,5
1730,CA-2019-145583,OFF-AR-10001149,LC-16885,13-10-2019,Standard Class,25 mins,4,11.52,3.456,COD,4.3
1731,CA-2019-145583,OFF-FA-10002988,LC-16885,13-10-2019,Standard Class,35 mins,2,4.02,1.9698,Online,
1732,CA-2019-145583,OFF-BI-10004781,LC-16885,13-10-2019,Standard Class,45 mins,3,76.176,26.6616,Online,
1733,CA-2019-145583,OFF-SU-10001218,LC-16885,13-10-2019,Standard Class,30 mins,6,65.88,18.4464,Online,3
1734,CA-2019-145583,FUR-FU-10001706,LC-16885,13-10-2019,Standard Class,40 mins,14,43.12,20.6976,Online,
1735,US-2019-100839,FUR-TA-10004575,NC-18625,13-10-2019,Standard Class,55 mins,5,727.45,-465.568,Online,4.3
1736,US-2019-100839,FUR-FU-10001617,NC-18625,13-10-2019,Standard Class,25 mins,3,24.96,4.368,COD,5
1737,CA-2019-154018,TEC-AC-10002402,HA-14920,13-10-2019,Standard Class,50 mins,3,191.976,23.997,Online,4.3
1738,CA-2019-154018,OFF-PA-10000551,HA-14920,13-10-2019,Standard Class,60 mins,2,8.288,3.0044,Online,4.2
1739,CA-2019-154018,FUR-FU-10003394,HA-14920,13-10-2019,Standard Class,35 mins,5,139.92,-150.414,Online,
1740,CA-2019-154018,OFF-AR-10002067,HA-14920,13-10-2019,Standard Class,45 mins,1,15.872,1.1904,Online,
1741,CA-2019-154018,OFF-BI-10004140,HA-14920,13-10-2019,Standard Class,50 mins,7,6.286,-11.0005,Online,
1742,CA-2019-101161,OFF-AR-10001860,BW-11110,13-10-2019,Standard Class,40 mins,5,34.7,12.492,COD,4.1
1743,CA-2019-101161,OFF-ST-10003123,BW-11110,13-10-2019,Standard Class,30 mins,3,99.87,23.9688,COD,3.3
1744,CA-2019-101161,OFF-PA-10001295,BW-11110,13-10-2019,Standard Class,60 mins,2,37.94,18.2112,COD,3.9
1745,CA-2019-101161,OFF-LA-10000407,BW-11110,13-10-2019,Standard Class,45 mins,5,24.9,11.454,COD,4
1746,CA-2019-101161,FUR-FU-10003535,BW-11110,13-10-2019,Standard Class,55 mins,3,82.26,33.7266,Online,4.5
1747,US-2019-108098,TEC-AC-10000865,CP-12340,14-10-2019,Standard Class,30 mins,3,177,30.09,Online,
1748,CA-2019-156503,FUR-CH-10003606,NC-18415,14-10-2019,Standard Class,40 mins,1,102.592,10.2592,Online,4
1749,CA-2019-156503,TEC-AC-10002473,NC-18415,14-10-2019,Standard Class,50 mins,1,22.704,5.9598,COD,3.5
1750,CA-2019-156503,OFF-PA-10002319,NC-18415,14-10-2019,Standard Class,35 mins,3,93.024,33.7212,COD,4.1
1751,CA-2019-156503,OFF-SU-10000946,NC-18415,14-10-2019,Standard Class,30 mins,2,12.768,1.4364,Online,
1752,CA-2019-156503,OFF-EN-10001335,NC-18415,14-10-2019,Standard Class,60 mins,4,35.008,13.128,COD,4.1
1753,CA-2019-156503,OFF-PA-10002377,NC-18415,14-10-2019,Standard Class,40 mins,1,39.152,14.682,COD,4.2
1754,CA-2019-113607,TEC-PH-10004094,PW-19030,14-10-2019,Standard Class,45 mins,7,1091.93,272.9825,Online,3.5
1755,CA-2019-113607,OFF-PA-10001970,PW-19030,14-10-2019,Standard Class,50 mins,2,111.96,54.8604,Online,3.5
1756,CA-2019-125220,TEC-AC-10003033,BE-11410,14-10-2019,Standard Class,35 mins,5,1649.75,544.4175,COD,
1757,CA-2019-125738,OFF-PA-10000740,PB-18805,15-10-2019,Standard Class,55 mins,2,45.68,21.0128,Online,
1758,CA-2019-125738,OFF-PA-10003001,PB-18805,15-10-2019,Standard Class,45 mins,9,60.12,28.8576,COD,
1759,CA-2019-125738,OFF-BI-10001628,PB-18805,15-10-2019,Standard Class,50 mins,5,41.72,13.0375,Online,2.6
1760,CA-2019-125738,OFF-PA-10001509,PB-18805,15-10-2019,Standard Class,60 mins,8,71.6,32.936,Online,4.7
1761,CA-2019-124352,OFF-LA-10004559,CD-12790,15-10-2019,Standard Class,30 mins,7,20.16,9.8784,COD,5
1762,CA-2019-124352,OFF-LA-10003223,CD-12790,15-10-2019,Standard Class,40 mins,6,29.46,14.4354,Online,4.2
1763,CA-2019-124352,OFF-AP-10002651,CD-12790,15-10-2019,Standard Class,50 mins,3,868.59,251.8911,COD,
1764,CA-2019-124352,OFF-PA-10003177,CD-12790,15-10-2019,Standard Class,35 mins,2,12.96,6.2208,Online,3.3
1765,CA-2019-124352,TEC-PH-10003442,CD-12790,15-10-2019,Standard Class,45 mins,1,5.5,1.375,Online,
1766,CA-2019-124352,OFF-BI-10000977,CD-12790,15-10-2019,Standard Class,55 mins,4,121.6,55.936,Online,3
1767,CA-2019-142097,OFF-BI-10002082,QJ-19255,15-10-2019,Standard Class,50 mins,7,232.96,116.48,Online,5
1768,CA-2019-142097,OFF-EN-10002312,QJ-19255,15-10-2019,Standard Class,30 mins,6,66.54,32.6046,Online,4.4
1769,CA-2019-142097,OFF-AP-10000696,QJ-19255,15-10-2019,Standard Class,60 mins,3,43.26,14.2758,Online,4.8
1770,CA-2019-132066,FUR-TA-10001539,NB-18655,16-10-2019,Standard Class,45 mins,1,142.182,-37.9152,Online,
1771,CA-2019-141586,OFF-BI-10003981,NK-18490,17-10-2019,First Class,40 mins,5,18.16,6.583,Online,5
1772,CA-2019-163972,FUR-BO-10003894,MG-17890,17-10-2019,Standard Class,50 mins,2,120.666,21.294,Online,4
1773,CA-2019-147256,TEC-PH-10003072,FC-14245,17-10-2019,Second Class,35 mins,3,449.97,220.4853,COD,4.4
1774,CA-2019-147256,OFF-AP-10003057,FC-14245,17-10-2019,Second Class,45 mins,7,1927.59,751.7601,Online,
1775,CA-2019-152688,FUR-BO-10001337,NR-18550,17-10-2019,First Class,50 mins,1,120.98,12.098,COD,4
1776,CA-2019-152688,OFF-BI-10004584,NR-18550,17-10-2019,First Class,60 mins,1,315.98,148.5106,COD,
1777,US-2019-159856,FUR-CH-10003396,EP-13915,18-10-2019,Standard Class,35 mins,5,307.92,-34.641,Online,4
1778,CA-2019-106341,OFF-AR-10002053,LF-17185,20-10-2019,First Class,40 mins,3,7.152,0.7152,Online,
1779,CA-2019-133697,OFF-PA-10000726,CM-12445,20-10-2019,Second Class,55 mins,7,51.016,15.9425,COD,3.9
1780,CA-2019-133697,OFF-FA-10003112,CM-12445,20-10-2019,Second Class,50 mins,4,25.248,7.89,Online,
1781,CA-2019-133697,FUR-CH-10002372,CM-12445,20-10-2019,Second Class,45 mins,1,56.686,-14.5764,Online,3.2
1782,CA-2019-160220,TEC-PH-10001300,JS-16030,20-10-2019,Standard Class,30 mins,6,125.7,35.196,Online,3
1783,CA-2019-160220,TEC-PH-10001557,JS-16030,20-10-2019,Standard Class,50 mins,2,191.98,51.8346,Online,4.7
1784,CA-2019-160220,OFF-ST-10000617,JS-16030,20-10-2019,Standard Class,40 mins,7,20.86,1.4602,Online,2.9
1785,CA-2019-168921,OFF-BI-10004209,AG-10495,20-10-2019,First Class,55 mins,3,19.296,6.03,COD,4.6
1786,CA-2019-105753,FUR-FU-10000246,LC-16960,20-10-2019,Standard Class,60 mins,5,61.1,18.33,Online,4.4
1787,CA-2019-139549,FUR-CH-10001802,MY-18295,20-10-2019,Standard Class,35 mins,4,387.136,4.8392,Online,1
1788,CA-2019-155516,OFF-BI-10002412,MK-17905,21-10-2019,Same Day,45 mins,4,23.2,10.44,COD,3.8
1789,CA-2019-155516,OFF-SU-10001225,MK-17905,21-10-2019,Same Day,50 mins,2,7.36,0.1472,Online,3.1
1790,CA-2019-155516,OFF-ST-10002406,MK-17905,21-10-2019,Same Day,35 mins,7,104.79,29.3412,COD,3.2
1791,CA-2019-155516,FUR-BO-10002545,MK-17905,21-10-2019,Same Day,55 mins,4,1043.92,271.4192,COD,3
1792,CA-2019-112340,OFF-PA-10001892,NM-18520,21-10-2019,Standard Class,40 mins,3,22.92,11.2308,Cards,
1793,CA-2019-144729,OFF-ST-10004804,JE-15745,21-10-2019,Standard Class,50 mins,3,154.44,1.5444,Online,4.1
1794,CA-2019-151169,OFF-BI-10002813,MY-18295,21-10-2019,Standard Class,60 mins,4,7.92,3.564,Cards,1
1795,CA-2019-111493,TEC-AC-10004510,CM-12160,21-10-2019,First Class,45 mins,6,98.16,9.816,Cards,4.4
1796,CA-2019-133669,TEC-PH-10001305,SV-20935,21-10-2019,Standard Class,35 mins,8,235.152,-47.0304,COD,3.7
1797,CA-2019-125080,FUR-TA-10003238,VW-21775,21-10-2019,Standard Class,55 mins,2,661.176,-231.4116,COD,4.4
1798,CA-2019-138478,OFF-AR-10002240,DP-13390,21-10-2019,Second Class,30 mins,3,113.22,29.4372,Cards,3.4
1799,CA-2019-138478,OFF-PA-10001801,DP-13390,21-10-2019,Second Class,40 mins,6,35.88,17.5812,COD,4.3
1800,CA-2019-138478,OFF-BI-10001120,DP-13390,21-10-2019,Second Class,50 mins,3,4535.976,1644.2913,COD,
1801,CA-2019-169334,OFF-ST-10004950,GW-14605,21-10-2019,Second Class,30 mins,9,111.672,6.9795,Cards,
1802,CA-2019-166373,TEC-AC-10002323,JF-15565,21-10-2019,Standard Class,45 mins,6,106.08,-9.282,COD,
1803,CA-2019-161746,FUR-CH-10004626,CS-11950,21-10-2019,Standard Class,25 mins,3,242.136,12.1068,COD,4.1
1804,CA-2019-161746,OFF-AR-10000390,CS-11950,21-10-2019,Standard Class,40 mins,3,12.39,5.6994,Online,
1805,CA-2019-161746,FUR-FU-10003731,CS-11950,21-10-2019,Standard Class,35 mins,2,19.96,5.5888,COD,4.4
1806,CA-2019-161746,OFF-ST-10002743,CS-11950,21-10-2019,Standard Class,30 mins,3,340.92,3.4092,Cards,
1807,CA-2019-136322,FUR-FU-10002878,AP-10720,21-10-2019,Standard Class,50 mins,2,45.568,9.6832,COD,4.2
1808,CA-2019-136322,OFF-BI-10004817,AP-10720,21-10-2019,Standard Class,20 mins,8,28.752,-21.0848,COD,
1809,CA-2019-165148,FUR-FU-10000732,PM-19135,22-10-2019,First Class,45 mins,5,31.4,10.048,Cards,3.3
1810,US-2019-116400,FUR-FU-10003731,EB-13930,22-10-2019,First Class,60 mins,4,39.92,11.1776,COD,4.2
1811,CA-2019-169887,OFF-PA-10003001,MS-17530,22-10-2019,Same Day,35 mins,1,6.68,3.2064,COD,4.1
1812,CA-2019-169887,OFF-AR-10002766,MS-17530,22-10-2019,Same Day,25 mins,3,8.34,2.2518,Online,4.2
1813,CA-2019-169887,FUR-FU-10003095,MS-17530,22-10-2019,Same Day,20 mins,3,101.94,30.582,Cards,
1814,CA-2019-132661,OFF-PA-10000482,SR-20740,23-10-2019,Standard Class,30 mins,10,379.4,178.318,COD,4.5
1815,CA-2019-165484,FUR-FU-10001196,HK-14890,23-10-2019,Standard Class,25 mins,7,16.156,-12.117,COD,4.3
1816,CA-2019-165484,OFF-PA-10000595,HK-14890,23-10-2019,Standard Class,30 mins,3,54.816,17.8152,Cards,
1817,CA-2019-151323,OFF-FA-10002983,AB-10255,23-10-2019,Standard Class,40 mins,5,17.05,8.184,Cards,5
1818,CA-2019-121748,TEC-AC-10003063,VW-21775,24-10-2019,Second Class,20 mins,4,100,21,COD,3.8
1819,CA-2019-121748,TEC-AC-10002637,VW-21775,24-10-2019,Second Class,30 mins,2,359.98,21.5988,COD,
1820,CA-2019-121020,TEC-PH-10001061,CG-12040,24-10-2019,Standard Class,50 mins,3,239.976,17.9982,COD,4.2
1821,CA-2019-166275,TEC-AC-10001838,SS-20590,24-10-2019,Same Day,20 mins,1,199.99,85.9957,Online,
1822,CA-2019-158925,OFF-PA-10003072,JP-15460,24-10-2019,Standard Class,40 mins,3,15.552,5.4432,Online,5
1823,CA-2019-118311,TEC-AC-10000892,ED-13885,24-10-2019,Standard Class,30 mins,5,450,162,Online,
1824,CA-2019-153318,TEC-PH-10000984,JS-15595,25-10-2019,First Class,25 mins,5,783.96,78.396,Online,
1825,CA-2019-152632,FUR-FU-10002671,JE-15475,27-10-2019,Standard Class,35 mins,3,40.2,19.296,Cards,4.4
1826,CA-2019-156811,OFF-AP-10001366,BP-11095,27-10-2019,Standard Class,20 mins,4,43.92,11.8584,COD,5
1827,CA-2019-156811,OFF-BI-10001628,BP-11095,27-10-2019,Standard Class,30 mins,3,25.032,7.8225,Online,2.5
1828,CA-2019-120873,FUR-CH-10000847,BW-11200,27-10-2019,Second Class,40 mins,1,290.98,75.6548,COD,
1829,US-2019-117387,OFF-BI-10004308,PA-19060,27-10-2019,Standard Class,45 mins,4,67.136,25.176,Online,
1830,CA-2019-116596,FUR-CH-10000553,BW-11200,27-10-2019,Standard Class,30 mins,14,427.644,80.7772,Cards,4.4
1831,CA-2019-116596,OFF-FA-10000134,BW-11200,27-10-2019,Standard Class,25 mins,7,40.67,12.6077,Online,3.3
1832,CA-2019-116596,OFF-ST-10000636,BW-11200,27-10-2019,Standard Class,20 mins,2,33.48,1.3392,COD,2.8
1833,CA-2019-116596,OFF-BI-10002949,BW-11200,27-10-2019,Standard Class,40 mins,2,9.728,3.2832,COD,
1834,CA-2019-130162,OFF-ST-10001328,JH-15910,28-10-2019,Standard Class,30 mins,6,93.06,26.0568,Online,3.8
1835,CA-2019-130162,TEC-PH-10002563,JH-15910,28-10-2019,Standard Class,25 mins,3,302.376,22.6782,COD,
1836,CA-2019-142545,OFF-PA-10002105,JD-15895,28-10-2019,Standard Class,45 mins,5,32.4,15.552,Cards,3
1837,CA-2019-142545,OFF-ST-10002756,JD-15895,28-10-2019,Standard Class,30 mins,8,1082.48,10.8248,Online,4.4
1838,CA-2019-142545,OFF-PA-10004243,JD-15895,28-10-2019,Standard Class,25 mins,3,56.91,27.3168,Online,4.3
1839,CA-2019-142545,FUR-FU-10001861,JD-15895,28-10-2019,Standard Class,35 mins,4,77.6,38.024,Cards,3.3
1840,CA-2019-142545,OFF-BI-10002706,JD-15895,28-10-2019,Standard Class,50 mins,1,14.28,6.5688,Online,4.8
1841,CA-2019-134775,OFF-PA-10004734,AS-10285,28-10-2019,First Class,20 mins,7,50.96,25.48,Online,3.9
1842,CA-2019-134775,OFF-BI-10002225,AS-10285,28-10-2019,First Class,30 mins,3,49.536,17.3376,Online,
1843,CA-2019-144344,FUR-FU-10000076,PG-18820,28-10-2019,Same Day,40 mins,3,47.952,13.7862,Cards,
1844,CA-2019-144344,OFF-BI-10003719,PG-18820,28-10-2019,Same Day,25 mins,5,37.425,-29.94,COD,
1845,CA-2019-144344,FUR-FU-10003268,PG-18820,28-10-2019,Same Day,35 mins,2,63.968,0,Cards,4
1846,CA-2019-144344,FUR-FU-10003553,PG-18820,28-10-2019,Same Day,20 mins,3,165.048,41.262,COD,
1847,US-2019-144393,OFF-BI-10004236,SM-20950,28-10-2019,Standard Class,45 mins,4,17.616,-14.0928,Online,5
1848,CA-2019-140641,OFF-BI-10001191,EP-13915,28-10-2019,Standard Class,30 mins,5,38.19,-26.733,COD,3.8
1849,CA-2019-125815,OFF-AR-10004441,DL-13330,28-10-2019,Second Class,20 mins,3,12.42,5.2164,Online,4.2
1850,CA-2019-120369,FUR-FU-10003806,VB-21745,28-10-2019,Same Day,25 mins,5,756.8,75.68,Cards,
1851,CA-2019-112389,OFF-ST-10000419,JM-15655,29-10-2019,Standard Class,35 mins,3,40.74,0.4074,Cards,3.8
1852,CA-2019-112389,OFF-AP-10001626,JM-15655,29-10-2019,Standard Class,45 mins,3,11.67,3.0342,COD,3.8
1853,CA-2019-146682,FUR-FU-10002671,KW-16435,29-10-2019,First Class,30 mins,5,67,32.16,Online,
1854,US-2019-131912,OFF-BI-10004236,LH-17155,29-10-2019,Second Class,40 mins,1,11.744,3.8168,Online,3.9
1855,CA-2019-167290,OFF-AR-10004078,JF-15295,30-10-2019,Standard Class,55 mins,2,11.68,3.504,Online,
1856,CA-2019-153836,OFF-BI-10004817,EH-13765,30-10-2019,Standard Class,25 mins,3,28.752,10.0632,Cards,
1857,CA-2019-153836,OFF-AR-10004602,EH-13765,30-10-2019,Standard Class,50 mins,5,114.95,32.186,Online,
1858,CA-2019-105291,OFF-FA-10003059,SP-20920,30-10-2019,Standard Class,60 mins,2,3.62,1.1946,Cards,
1859,CA-2019-119165,FUR-CH-10000988,BD-11320,31-10-2019,Standard Class,35 mins,5,492.835,-14.081,COD,
1860,CA-2019-144218,OFF-ST-10002615,JD-15895,31-10-2019,Standard Class,45 mins,7,1085.42,282.2092,COD,4.2
1861,US-2019-142251,OFF-PA-10002986,FO-14305,31-10-2019,Second Class,50 mins,6,32.064,11.2224,Online,4
1862,CA-2019-140130,OFF-SU-10001218,HW-14935,31-10-2019,Standard Class,40 mins,2,21.96,6.1488,COD,3.7
1863,CA-2019-140130,FUR-CH-10002084,HW-14935,31-10-2019,Standard Class,30 mins,3,368.97,81.1734,COD,4.2
1864,CA-2019-140130,OFF-AR-10004269,HW-14935,31-10-2019,Standard Class,60 mins,3,12.39,3.4692,COD,4.3
1865,CA-2019-140130,OFF-ST-10001128,HW-14935,31-10-2019,Standard Class,45 mins,3,332.94,9.9882,Cards,4.8
1866,CA-2019-146913,FUR-CH-10001854,SF-20965,31-10-2019,Standard Class,55 mins,5,1403.92,70.196,COD,
1867,CA-2019-159212,TEC-PH-10003988,KM-16375,01-11-2019,Standard Class,30 mins,2,21.8,6.104,COD,3.8
1868,CA-2019-159212,OFF-EN-10002230,KM-16375,01-11-2019,Standard Class,40 mins,3,251.79,118.3413,Online,4.3
1869,CA-2019-100671,OFF-ST-10004950,CS-12490,01-11-2019,First Class,50 mins,9,111.672,6.9795,Online,4.2
1870,CA-2019-129196,TEC-AC-10002473,XP-21865,01-11-2019,Standard Class,35 mins,3,68.112,17.8794,Online,3.8
1871,CA-2019-128867,OFF-AR-10000380,CL-12565,03-11-2019,Standard Class,30 mins,2,75.96,22.788,Online,
1872,CA-2019-128867,OFF-BI-10003981,CL-12565,03-11-2019,Standard Class,60 mins,6,27.24,13.3476,Online,3.9
1873,CA-2019-127250,OFF-AR-10003394,SF-20200,03-11-2019,Standard Class,40 mins,3,8.82,2.3814,Online,4.3
1874,CA-2019-114972,FUR-CH-10001190,PF-19225,03-11-2019,First Class,45 mins,2,217.584,-29.9178,Cards,
1875,CA-2019-114972,TEC-AC-10000682,PF-19225,03-11-2019,First Class,50 mins,5,82.95,29.0325,Cards,
1876,CA-2019-114972,OFF-LA-10004545,PF-19225,03-11-2019,First Class,35 mins,7,87.71,41.2237,Online,4.1
1877,CA-2019-114972,OFF-AP-10003057,PF-19225,03-11-2019,First Class,55 mins,4,1101.48,429.5772,Cards,4.2
1878,CA-2019-168893,OFF-FA-10002280,AP-10915,03-11-2019,Second Class,45 mins,4,20,9.6,Online,4.3
1879,CA-2019-168893,OFF-AR-10001770,AP-10915,03-11-2019,Second Class,50 mins,3,7.98,2.0748,COD,4
1880,CA-2019-168893,FUR-FU-10002885,AP-10915,03-11-2019,Second Class,60 mins,5,24.1,9.158,Cards,
